image,label,group_id,group_rule,split,is_empty,classes,box_count
0001388270-Raw01-f_00001.jpg,0001388270-Raw01-f_00001.txt,0001388270,numeric_raw_prefix,train,False,"jiaza,zonglie",3
0001388400-Raw00-f_00016.jpg,0001388400-Raw00-f_00016.txt,0001388400,numeric_raw_prefix,train,True,,0
0001388400-Raw11-f_00015.jpg,0001388400-Raw11-f_00015.txt,0001388400,numeric_raw_prefix,train,True,,0
0001388400-Raw12-f_00017.jpg,0001388400-Raw12-f_00017.txt,0001388400,numeric_raw_prefix,train,True,,0
0001388400-Raw13-f_00004.jpg,0001388400-Raw13-f_00004.txt,0001388400,numeric_raw_prefix,train,True,,0
0001388400-Raw13-f_00006.jpg,0001388400-Raw13-f_00006.txt,0001388400,numeric_raw_prefix,train,True,,0
0001388609-Raw00-f_00007.jpg,0001388609-Raw00-f_00007.txt,0001388609,numeric_raw_prefix,train,False,mamianmakeng,1
0001389370-Raw01-f_00002.jpg,0001389370-Raw01-f_00002.txt,0001389370,numeric_raw_prefix,train,False,zonglie,2
0001389511-Raw00-f_00008.jpg,0001389511-Raw00-f_00008.txt,0001389511,numeric_raw_prefix,train,True,,0
0001389511-Raw02-f_00002.jpg,0001389511-Raw02-f_00002.txt,0001389511,numeric_raw_prefix,train,False,yanghuatiepi,6
0001389511-Raw13-f_00005.jpg,0001389511-Raw13-f_00005.txt,0001389511,numeric_raw_prefix,train,True,,0
0001389511-Raw13-f_00006.jpg,0001389511-Raw13-f_00006.txt,0001389511,numeric_raw_prefix,train,True,,0
0001389516-Raw01-f_00002.jpg,0001389516-Raw01-f_00002.txt,0001389516,numeric_raw_prefix,train,False,zonglie,1
0001390648-Raw00-f_00001.jpg,0001390648-Raw00-f_00001.txt,0001390648,numeric_raw_prefix,train,True,,0
0001390648-Raw00-f_00003.jpg,0001390648-Raw00-f_00003.txt,0001390648,numeric_raw_prefix,train,True,,0
0001390648-Raw00-f_00007.jpg,0001390648-Raw00-f_00007.txt,0001390648,numeric_raw_prefix,train,True,,0
0001390648-Raw00-f_00008.jpg,0001390648-Raw00-f_00008.txt,0001390648,numeric_raw_prefix,train,True,,0
0001390648-Raw01-f_00002.jpg,0001390648-Raw01-f_00002.txt,0001390648,numeric_raw_prefix,train,False,yanghuatiepi,1
0001390648-Raw01-f_00005.jpg,0001390648-Raw01-f_00005.txt,0001390648,numeric_raw_prefix,train,False,yanghuatiepi,1
0001390648-Raw01-f_00006.jpg,0001390648-Raw01-f_00006.txt,0001390648,numeric_raw_prefix,train,False,yanghuatiepi,1
0001390648-Raw01-f_00008.jpg,0001390648-Raw01-f_00008.txt,0001390648,numeric_raw_prefix,train,True,,0
0001392084-Raw12-f_00016.jpg,0001392084-Raw12-f_00016.txt,0001392084,numeric_raw_prefix,train,True,,0
0001395654-Raw01-f_00004.jpg,0001395654-Raw01-f_00004.txt,0001395654,numeric_raw_prefix,train,False,zonglie,1
0001396042-Raw01-f_00001.jpg,0001396042-Raw01-f_00001.txt,0001396042,numeric_raw_prefix,train,False,zonglie,1
0001396074-Raw11-f_00003.jpg,0001396074-Raw11-f_00003.txt,0001396074,numeric_raw_prefix,train,True,,0
0001396149-Raw01-f_00015.jpg,0001396149-Raw01-f_00015.txt,0001396149,numeric_raw_prefix,train,True,,0
0001396586-Raw00-f_00001.jpg,0001396586-Raw00-f_00001.txt,0001396586,numeric_raw_prefix,train,False,yanghuatiepi,3
0001396586-Raw01-f_00000.jpg,0001396586-Raw01-f_00000.txt,0001396586,numeric_raw_prefix,train,False,yanghuatiepi,1
0001396593-Raw00-f_00010.jpg,0001396593-Raw00-f_00010.txt,0001396593,numeric_raw_prefix,train,True,,0
0001396594-Raw01-f_00003.jpg,0001396594-Raw01-f_00003.txt,0001396594,numeric_raw_prefix,train,True,,0
0001396714-Raw00-f_00002.jpg,0001396714-Raw00-f_00002.txt,0001396714,numeric_raw_prefix,train,False,"jiaza,yanghuatiepi",2
0001396714-Raw00-f_00004.jpg,0001396714-Raw00-f_00004.txt,0001396714,numeric_raw_prefix,train,False,jiaza,1
0001396714-Raw00-f_00008.jpg,0001396714-Raw00-f_00008.txt,0001396714,numeric_raw_prefix,train,False,yanghuatiepi,1
0001396893-Raw00-f_00010.jpg,0001396893-Raw00-f_00010.txt,0001396893,numeric_raw_prefix,train,True,,0
0001396894-Raw00-f_00002.jpg,0001396894-Raw00-f_00002.txt,0001396894,numeric_raw_prefix,train,False,yanghuatiepi,1
0001396894-Raw00-f_00003.jpg,0001396894-Raw00-f_00003.txt,0001396894,numeric_raw_prefix,train,True,,0
0001397187-Raw13-f_00002.jpg,0001397187-Raw13-f_00002.txt,0001397187,numeric_raw_prefix,train,True,,0
0001397412-Raw11-f_00007.jpg,0001397412-Raw11-f_00007.txt,0001397412,numeric_raw_prefix,train,True,,0
0001397412-Raw13-f_00005.jpg,0001397412-Raw13-f_00005.txt,0001397412,numeric_raw_prefix,train,True,,0
0001397421-Raw01-f_00009.jpg,0001397421-Raw01-f_00009.txt,0001397421,numeric_raw_prefix,train,False,mamianmakeng,1
0001397421-Raw11-f_00009.jpg,0001397421-Raw11-f_00009.txt,0001397421,numeric_raw_prefix,train,True,,0
0001397421-Raw12-f_00010.jpg,0001397421-Raw12-f_00010.txt,0001397421,numeric_raw_prefix,train,True,,0
0001397421-Raw13-f_00003.jpg,0001397421-Raw13-f_00003.txt,0001397421,numeric_raw_prefix,train,True,,0
0001397868-Raw00-f_00004.jpg,0001397868-Raw00-f_00004.txt,0001397868,numeric_raw_prefix,train,True,,0
0001397868-Raw13-f_00003.jpg,0001397868-Raw13-f_00003.txt,0001397868,numeric_raw_prefix,train,True,,0
0001398309-Raw01-f_00001.jpg,0001398309-Raw01-f_00001.txt,0001398309,numeric_raw_prefix,train,True,,0
0001398309-Raw01-f_00007.jpg,0001398309-Raw01-f_00007.txt,0001398309,numeric_raw_prefix,train,True,,0
